mne,pub_month,antal,aktive
mne35420,12,15,0
mne34502,6,232,0
mne32096,4,46,0
mne2378,12,5,0
mne2892,5,6,0
mne30176,11,14,0
mne32840,8,1,0
mne34502,11,19,0
mne46629,2,20,1
mne35391,10,26,0
mne2427,10,1,0
mne33711,7,37,0
mne33195,2,14,0
mne5988,12,3,0
mne27703,8,26,0
mne31387,6,103,0
mne34100,3,32,0
mne32206,5,8,0
mne23414,7,9,0
mne11512,7,29,0
mne15927,3,9,0
mne17982,6,23,0
mne18512,8,1,0
mne34484,6,45,0
mne42793,12,9,0
mne30216,5,18,0
mne34462,7,11,0
mne11348,6,87,0
mne42244,11,5,0
mne33209,5,55,0
mne41367,9,10,0
mne17139,6,99,0
mne34289,7,10,0
mne12318,4,19,1
mne5783,7,46,0
mne32857,12,12,1
mne31387,11,5,0
mne50564,7,10,0
mne16826,10,4,0
mne9642,11,13,0
mne34119,5,15,0
mne28663,6,22,0
mne32079,10,34,0
mne48488,5,7,0
